horizon,policy,granularity,period,n_train,n_test,mae,rmse,r2
1,never_retrain,month,2016-01,335,31,0.45898624367327245,0.6568456788776975,0.0993182381028116
1,never_retrain,month,2016-02,335,29,0.5483984739209837,0.8102837290332313,0.44826362855794966
1,never_retrain,month,2016-03,335,31,0.36501412954147083,0.436024753988856,0.23427074503985057
1,never_retrain,month,2016-04,335,30,0.852937992913417,0.9991928061894458,-0.33664708667539167
1,never_retrain,month,2016-05,335,31,1.4143386608996396,1.5891134279238213,-0.01494546720797163
1,never_retrain,month,2016-06,335,30,0.7990226710604459,0.9519742826925357,0.4951569181812624
1,never_retrain,month,2016-07,335,31,0.5477957826439188,0.6414127241610794,0.21750132270549083
1,never_retrain,month,2016-08,335,31,0.5085036124930632,0.6153602551704481,0.1833478856792078
1,never_retrain,month,2016-09,335,30,0.6243421894158717,0.748017194163284,0.35814118679575746
1,never_retrain,month,2016-10,335,31,0.7382153328332263,0.9077326055605593,-0.5204364868530134
1,never_retrain,month,2016-11,335,30,0.7540713336946502,0.9228005728804131,0.40085305389663795
1,never_retrain,month,2016-12,335,31,0.7368433156121935,0.9964718742718383,-0.04504534504704005
1,never_retrain,month,2017-01,335,31,0.5550644707213391,0.7272795920984186,0.14722156077473503
1,never_retrain,month,2017-02,335,28,0.6330502560879704,0.7747290173968342,0.055250643448873094
1,never_retrain,month,2017-03,335,31,0.5236034981238237,0.7357059340751418,0.31034186868887703
1,never_retrain,month,2017-04,335,30,0.6937371977527937,0.828396404599651,0.4279209495755223
1,never_retrain,month,2017-05,335,31,0.6773632418269618,0.8478767108857984,0.04490555602499369
1,never_retrain,month,2017-06,335,30,0.7610298345580454,0.947728736939376,0.09310403996293892
1,never_retrain,month,2017-07,335,31,0.6159974404110282,0.8299629535181898,0.3744932414737371
1,never_retrain,month,2017-08,335,31,0.6122881328114885,0.7794792556341825,-0.03847327121869326
1,never_retrain,month,2017-09,335,30,0.8270148110967749,0.9490209348220136,0.20900829339805982
1,never_retrain,month,2017-10,335,31,0.7023069112757072,0.8898220640747494,0.07297300585844113
1,never_retrain,month,2017-11,335,30,0.7092567410880821,1.0450074105996174,0.13072557189971545
1,never_retrain,month,2017-12,335,31,1.0086720346646474,1.4439473054592737,0.08463939078900429
1,never_retrain,month,2018-01,335,31,0.5420637365331155,0.7366463508474523,-0.021037279661687558
1,never_retrain,month,2018-02,335,28,0.7500655348316217,0.9369898921352615,0.5692525764614031
1,never_retrain,month,2018-03,335,31,0.4389539436774429,0.5211722047140943,-0.02492252534496009
1,never_retrain,month,2018-04,335,30,0.4520795256113734,0.5748607610820466,0.4055911640246087
1,never_retrain,month,2018-05,335,31,0.6709961250911832,0.8830173008852854,0.06806814204531131
1,never_retrain,month,2018-06,335,30,0.6240888613365709,0.8431736243939612,0.31496768362566485
1,never_retrain,month,2018-07,335,31,0.5460591497867132,0.6671030162572644,0.20427491652986574
1,never_retrain,month,2018-08,335,31,0.7218884166377972,0.8627795542056076,0.19532350354536177
1,never_retrain,month,2018-09,335,30,0.775599746101923,0.998150311615731,-0.15662514043305187
1,never_retrain,month,2018-10,335,31,0.5982710742158571,0.7387599794781816,0.4205777621083785
1,never_retrain,month,2018-11,335,30,0.8800667960287962,1.1326725713352266,0.2289157238556212
1,never_retrain,month,2018-12,335,31,0.4280809897227583,0.584853639025843,0.5184387903639289
1,never_retrain,month,2019-01,335,31,0.5008477438961377,0.7059536454460628,0.48154961344978175
1,never_retrain,month,2019-02,335,28,0.33672619494045997,0.42416825712539985,-0.12136313631126838
1,never_retrain,month,2019-03,335,31,0.3405761063802167,0.3992974011170867,0.7830293744203403
1,never_retrain,month,2019-04,335,30,0.9194202966166901,1.075979651268022,-0.49954520968348337
1,never_retrain,month,2019-05,335,31,0.9488679670335742,1.1421487551249847,0.07982491561895821
1,never_retrain,month,2019-06,335,30,0.595057974529455,0.7472189471460495,-0.2889968691684939
1,never_retrain,month,2019-07,335,31,0.6908174521915471,0.8918147731517831,0.3936024661486587
1,never_retrain,month,2019-08,335,31,0.7310776152028511,0.9187958010807608,0.20311335424504462
1,never_retrain,month,2019-09,335,30,0.7839207694223589,0.959611485808725,0.02754061845674305
1,never_retrain,month,2019-10,335,31,0.5771019925183037,0.7111873833842886,0.045515313000006996
1,never_retrain,month,2019-11,335,30,0.5697961673921962,0.9050137087670025,0.3218289249369024
1,never_retrain,month,2019-12,335,31,0.6535033124990626,0.8158731336931149,0.521985428075192
1,never_retrain,month,2020-01,335,31,0.4624860816968602,0.5924307137045722,0.28734330909941475
1,never_retrain,month,2020-02,335,29,0.6677247836940308,0.7883377307646259,-0.1308127081032613
1,never_retrain,month,2020-03,335,31,0.3187997996657149,0.39865644829517466,0.25213587219470257
1,never_retrain,month,2020-04,335,30,0.6679519046527197,0.8043726478300595,0.20496720424959491
1,never_retrain,month,2020-05,335,31,1.1229452827109307,1.304468335330852,-0.36488921626199033
1,never_retrain,month,2020-06,335,30,0.9877283884511773,1.1792306421280672,-0.041714665768052495
1,never_retrain,month,2020-07,335,31,0.8508885540064698,1.0321661055308544,-0.43774408299377776
1,never_retrain,month,2020-08,335,31,0.8439208776281377,0.9537728797971834,0.48138091128984595
1,never_retrain,month,2020-09,335,30,0.627482137160257,0.803221509692769,0.23784430758047193
1,never_retrain,month,2020-10,335,31,0.7048172301067591,0.9133196108833362,-0.1177399758369575
1,never_retrain,month,2020-11,335,30,0.4577349479233067,0.6378245266179291,0.29185727587837207
1,never_retrain,month,2020-12,335,31,0.5490016923464484,0.6946767671128232,0.3314178044137639
1,never_retrain,month,2021-01,335,31,0.77631839204771,1.0114799354291852,0.25765524671214146
1,never_retrain,month,2021-02,335,28,0.5661565033543184,0.7358304289467481,0.39677709083494483
1,never_retrain,month,2021-03,335,31,0.3828740155348111,0.4618670460773239,0.5920690040785663
1,never_retrain,month,2021-04,335,30,0.6847298272530992,0.8250973502034481,0.038800399125446194
1,never_retrain,month,2021-05,335,31,0.8284951130841051,0.9685376794846182,0.6193457198785711
1,never_retrain,month,2021-06,335,30,0.7582499548597089,0.894569636295171,0.27466428580894786
1,never_retrain,month,2021-07,335,31,0.7965969187271849,0.9580565405627687,0.2599915150812836
1,never_retrain,month,2021-08,335,31,0.5847674509014639,0.7338003584774018,0.40678331947311464
1,never_retrain,month,2021-09,335,30,0.5671639951876724,0.6867010100895294,-0.39656602564145604
1,never_retrain,month,2021-10,335,31,0.697099077572849,0.8923174168933437,-0.18646869063457805
1,never_retrain,month,2021-11,335,30,0.6911987556303435,0.8718170075199472,0.21553834802246274
1,never_retrain,month,2021-12,335,31,0.6094334572656952,0.8266891103044389,0.1730733240447191
1,never_retrain,month,2022-01,335,31,0.3273253974809039,0.4201084419106039,0.39408420281174017
1,never_retrain,month,2022-02,335,28,0.45526961444220415,0.5998275668750489,0.20431638535764451
1,never_retrain,month,2022-03,335,31,0.6716859084426523,0.8048861085692193,-0.05485568198027946
1,never_retrain,month,2022-04,335,30,0.756254870142006,0.9754012738235052,0.36310517354521965
1,never_retrain,month,2022-05,335,31,0.8047461348445697,1.0099078098168235,0.2510261441342295
1,never_retrain,month,2022-06,335,30,0.8447578952451977,1.017600095946915,0.2186534091149489
1,never_retrain,month,2022-07,335,31,0.7514223016903175,0.9132907086552972,0.23294734766127578
1,never_retrain,month,2022-08,335,31,0.6537485695332189,0.8354404021124168,0.11765608207533995
1,never_retrain,month,2022-09,335,30,0.6326301848394918,0.7993443813710702,0.17086294476822672
1,never_retrain,month,2022-10,335,31,0.7570750550673698,0.9588618521915919,-0.14037019305155685
1,never_retrain,month,2022-11,335,30,0.664915344421514,0.853425192191939,0.36245224206245785
1,never_retrain,month,2022-12,335,31,0.7533335018470362,0.8969112938893191,0.23388004498050685
1,never_retrain,month,2023-01,335,31,0.670841779365933,0.8548160750409042,0.3247953732840849
1,never_retrain,month,2023-02,335,28,0.43432879444069894,0.5555591487983345,0.25167479352484035
1,never_retrain,month,2023-03,335,31,0.3560887197762813,0.4896767870492371,0.7831311716268148
1,never_retrain,month,2023-04,335,30,0.6989498583360014,0.8069546923675144,-0.6529171028332439
1,never_retrain,month,2023-05,335,31,1.0083955885985252,1.2487981960047312,0.1990055937909645
1,never_retrain,month,2023-06,335,30,0.7759984136697438,1.0275448035932873,-5.6293927038320035e-05
1,never_retrain,month,2023-07,335,31,0.7132846212185215,0.8505088590794105,0.23643006160255875
1,never_retrain,month,2023-08,335,31,0.5628738700309145,0.6728779224816984,0.3793408716773391
1,never_retrain,month,2023-09,335,30,0.48235428351372356,0.6488379792268496,-0.04967766777056437
1,never_retrain,month,2023-10,335,31,0.544060939045901,0.7030482700454456,0.20999222951243712
1,never_retrain,month,2023-11,335,30,0.5236847066201343,0.6303898569480565,0.27635918871663157
1,never_retrain,month,2023-12,335,31,0.5197604052299309,0.6223251603912144,0.3823896491139215
1,never_retrain,month,2024-01,335,31,0.433297321757019,0.5457689040249375,0.10120882807975728
1,never_retrain,month,2024-02,335,29,0.4984824753017326,0.6821023656542752,0.079195371319706
1,never_retrain,month,2024-03,335,31,0.36627872406799633,0.4843027876640426,0.30815908003764503
1,never_retrain,month,2024-04,335,30,1.451363470613788,1.6146210361865674,-4.334320748997532
1,never_retrain,month,2024-05,335,31,1.2616909531674956,1.448611521447407,-0.45500346450752893
1,never_retrain,month,2024-06,335,30,0.8998841406080573,1.1156926597763925,0.2755898195455323
1,never_retrain,month,2024-07,335,31,0.6802049536888204,0.7974004262590043,0.39422088862306126
1,never_retrain,month,2024-08,335,31,0.6820189058962367,0.8199652513269835,0.48807451165341587
1,never_retrain,month,2024-09,335,30,0.7498918354311889,0.964960091991498,0.35048271544626086
1,never_retrain,month,2024-10,335,31,0.7014347775608761,0.9529535926315776,0.047266541189123656
1,never_retrain,month,2024-11,335,30,0.5261829615824051,0.6622317682152382,0.32146706432956884
1,never_retrain,month,2024-12,335,31,0.8405830757789651,1.0364159809819373,-0.19544403045164604
